Elapsed time is 253.930798 seconds.
         39608741 function calls (39475136 primitive calls) in 253.931 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      190    0.001    0.000    0.008    0.000 _methods.py:133(_std)
    50526    0.018    0.000    0.278    0.000 _methods.py:28(_amin)
   113403    0.050    0.000    1.000    0.000 _methods.py:31(_sum)
  2505615    3.947    0.000    4.263    0.000 _methods.py:43(_count_reduce_items)
  2505425    8.020    0.000   23.379    0.000 _methods.py:53(_mean)
      190    0.004    0.000    0.007    0.000 _methods.py:86(_var)
        1    0.000    0.000    0.000    0.000 _monitor.py:31(__init__)
        1    0.000    0.000    0.000    0.000 _monitor.py:48(exit)
        1    0.000    0.000    0.000    0.000 _monitor.py:95(report)
        6    0.000    0.000    0.000    0.000 _tqdm.py:101(release)
        6    0.000    0.000    0.000    0.000 _tqdm.py:105(__enter__)
        2    0.000    0.000    0.000    0.000 _tqdm.py:1075(close)
        6    0.000    0.000    0.000    0.000 _tqdm.py:108(__exit__)
        2    0.000    0.000    0.000    0.000 _tqdm.py:1094(fp_write)
        1    0.000    0.000    0.000    0.000 _tqdm.py:1115(<listcomp>)
        3    0.000    0.000    0.000    0.000 _tqdm.py:153(format_interval)
        1    0.000    0.000    0.000    0.000 _tqdm.py:174(status_printer)
        2    0.000    0.000    0.000    0.000 _tqdm.py:184(fp_write)
        2    0.000    0.000    0.000    0.000 _tqdm.py:190(print_status)
        2    0.000    0.000    0.000    0.000 _tqdm.py:197(format_meter)
        1    0.000    0.000    0.000    0.000 _tqdm.py:401(__new__)
        1    0.000    0.000    0.000    0.000 _tqdm.py:424(_get_free_pos)
        1    0.000    0.000    0.000    0.000 _tqdm.py:427(<genexpr>)
        1    0.000    0.000    0.000    0.000 _tqdm.py:431(_decr_instances)
        1    0.000    0.000    0.001    0.001 _tqdm.py:641(__init__)
        1    0.000    0.000    0.000    0.000 _tqdm.py:881(__del__)
        2    0.000    0.000    0.000    0.000 _tqdm.py:884(__repr__)
        2    0.000    0.000    0.000    0.000 _tqdm.py:893(_comparable)
        2    0.000    0.000    0.000    0.000 _tqdm.py:897(__hash__)
        2    0.000    0.000    0.000    0.000 _tqdm.py:900(__iter__)
        6    0.000    0.000    0.000    0.000 _tqdm.py:97(acquire)
        1    0.000    0.000    0.000    0.000 _utils.py:129(__eq__)
        1    0.000    0.000    0.000    0.000 _utils.py:142(_is_utf)
        1    0.000    0.000    0.000    0.000 _utils.py:156(_supports_unicode)
        1    0.000    0.000    0.000    0.000 _utils.py:163(_environ_cols_wrapper)
        1    0.000    0.000    0.001    0.001 _utils.py:215(_environ_cols_linux)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:106(remove)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:16(__init__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:20(__enter__)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:26(__exit__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:36(__init__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:38(_remove)
        3    0.000    0.000    0.000    0.000 _weakrefset.py:52(_commit_removals)
        4    0.000    0.000    0.000    0.000 _weakrefset.py:58(__iter__)
        1    0.000    0.000    0.000    0.000 _weakrefset.py:67(__len__)
        2    0.000    0.000    0.000    0.000 _weakrefset.py:81(add)
      190    0.015    0.000    0.058    0.000 channel.py:151(__init__)
       10    0.001    0.000    0.059    0.006 channel.py:216(__init__)
    50526    0.116    0.000    0.116    0.000 channel.py:26(attenuation)
    50526    0.132    0.000    0.261    0.000 channel.py:61(get_shw)
        1    0.000    0.000    0.000    0.000 copyreg.py:96(_slotnames)
       10    0.000    0.000    0.001    0.000 devices.py:106(received_power_connected)
       10    0.000    0.000    0.007    0.001 devices.py:114(received_interference)
      570    0.035    0.000    1.665    0.003 devices.py:127(best_cell)
      570    0.000    0.000    0.000    0.000 devices.py:149(connect_to_cell)
    50526    0.168    0.000    0.555    0.000 devices.py:28(radiation_pattern)
      570    0.000    0.000    0.000    0.000 devices.py:38(__init__)
      570    0.000    0.000    0.001    0.000 devices.py:57(__init__)
    50526    0.182    0.000    0.190    0.000 devices.py:68(distance_to)
    50526    0.171    0.000    0.171    0.000 devices.py:75(angle_from)
    50526    0.317    0.000    1.637    0.000 devices.py:92(received_power)
      380    0.003    0.000    0.014    0.000 fftpack.py:198(ifft)
      380    0.001    0.000    0.010    0.000 fftpack.py:47(_raw_fft)
      380    0.000    0.000    0.000    0.000 fftpack.py:95(_unitary)
        1    0.000    0.000    0.000    0.000 format.py:172(_check_version)
        1    0.000    0.000    0.000    0.000 format.py:177(magic)
        1    0.000    0.000    0.000    0.000 format.py:224(dtype_to_descr)
        1    0.000    0.000    0.000    0.000 format.py:256(header_data_from_array_1_0)
        1    0.000    0.000    0.000    0.000 format.py:283(_write_array_header)
        1    0.000    0.000    0.000    0.000 format.py:432(_filter_header)
        1    0.000    0.000    0.000    0.000 format.py:527(write_array)
   113403    0.435    0.000    1.456    0.000 fromnumeric.py:1778(sum)
    50526    0.105    0.000    0.383    0.000 fromnumeric.py:2323(amin)
      380    0.001    0.000    0.002    0.000 function_base.py:13(_index_deprecate)
      380    0.005    0.000    0.011    0.000 function_base.py:25(linspace)
        9    0.000    0.000    0.000    0.000 genericpath.py:111(_splitext)
        9    0.000    0.000    0.000    0.000 handlers.py:177(shouldRollover)
        9    0.000    0.000    0.000    0.000 handlers.py:63(emit)
      380    0.001    0.000    0.001    0.000 helper.py:257(put_twiddle_factors)
      380    0.001    0.000    0.001    0.000 helper.py:283(pop_twiddle_factors)
      380    0.000    0.000    0.000    0.000 helper.py:311(_prune_cache)
        1    0.001    0.001  252.244  252.244 main.py:32(my_drop)
      570    0.002    0.000    1.678    0.003 network.py:125(connect_ue_to_best_cell)
        1    0.000    0.000    1.678    1.678 network.py:135(connect_all_ue)
        1    0.000    0.000    0.000    0.000 network.py:140(disconnect_all_ue)
        1    0.000    0.000    0.000    0.000 network.py:147(remove_all_ue)
        1    0.000    0.000    0.000    0.000 network.py:150(resource_reserve_all)
      570    0.002    0.000    0.002    0.000 network.py:164(get_cell)
      580    0.009    0.000    0.009    0.000 network.py:172(get_ue)
       57    0.000    0.000    0.000    0.000 network.py:42(resource_reserve)
    50526    0.027    0.000    0.027    0.000 network.py:67(get_cell)
        1    0.003    0.003    0.005    0.005 network.py:93(deploy_user_equipments)
        1    0.000    0.000    0.001    0.001 npyio.py:437(save)
      380    0.000    0.000    0.000    0.000 numeric.py:1917(isscalar)
      380    0.000    0.000    0.000    0.000 numeric.py:424(asarray)
  2506566    1.453    0.000    1.753    0.000 numeric.py:495(asanyarray)
